sample_id,circuit,fault,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,label
0,RC,normal,5.0,4.953711839780102,4.933745842766012,0.4443117718074302,0.0019095477386934,0.0038190954773869,-8.81177987254892,84.79091682590995,52.368421052631575,977627.1067038208,139.76673172756998,259.5280485739456,0.0620220075618761,4907.852198315512,0.005,1.0093441366226004,5.0,RC_normal
1,RC,normal,5.0,4.873808913678319,4.829908842324189,0.6526820833214677,0.0066834170854271,0.0114572864321608,-5.0386575645804905,27.241581971234574,52.368421052631575,941644.3712543984,125.03822588411867,241.06994388421597,0.1178505295470852,4750.802665410047,0.005,1.025891677034675,5.0,RC_normal
2,RC,normal,5.0,4.79254488275483,4.725363443511573,0.7996416572089975,0.0109798994974874,0.019572864321608,-3.783140768871737,14.79670551001736,52.368421052631575,905954.4000117684,120.79395820703016,235.89469420336889,0.1660065435173026,4593.6972906439005,0.005,1.043287047345485,5.0,RC_normal
3,RC,normal,4.999993,4.709878776162794,4.620710279068435,0.912137381681094,0.0152763819095477,0.0272110552763819,-3.0929436125616707,9.465062067856412,52.368421052631575,870681.8073736561,119.0057379015947,233.619564079473,0.2085191764501418,4436.591617229748,0.005,1.0615969619654555,4.999985935107144,RC_normal
4,RC,normal,4.999864,4.625748239988118,4.516032010034595,1.0014997074867589,0.0200502512562814,0.0348492462311557,-2.6362767742643114,6.53001925895936,52.368421052631575,835845.157609872,118.29699765203328,232.54456698277863,0.2468207707583373,4279.509355950634,0.005,1.08087680967541,4.99976517108617,RC_normal
