sample_id,circuit,fault,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17
0,RC,normal,5.0,4.953711839780102,4.933745842766012,0.44431177180743026,0.0019095477386934674,0.003819095477386935,-8.81177987254892,84.79091682590995,52.368421052631575,977627.1067038209,139.76673172756998,259.52804857394557,0.062022007561876105,4907.8521983155115,0.005,1.0093441366226004,5.0
1,RC,normal,5.0,4.873808913678319,4.829908842324189,0.6526820833214677,0.0066834170854271355,0.011457286432160804,-5.0386575645804905,27.241581971234574,52.368421052631575,941644.3712543985,125.03822588411867,241.06994388421595,0.11785052954708526,4750.802665410047,0.005,1.0258916770346753,5.0
2,RC,normal,5.0,4.79254488275483,4.725363443511573,0.7996416572089975,0.010979899497487438,0.01957286432160804,-3.7831407688717373,14.796705510017361,52.368421052631575,905954.4000117683,120.79395820703017,235.89469420336886,0.16600654351730268,4593.6972906439005,0.005,1.043287047345485,5.0
3,RC,normal,4.999993,4.709878776162794,4.620710279068435,0.9121373816810939,0.01527638190954774,0.027211055276381912,-3.0929436125616707,9.465062067856413,52.368421052631575,870681.8073736561,119.0057379015947,233.619564079473,0.20851917645014187,4436.5916172297475,0.005,1.0615969619654555,4.999985935107144
4,RC,normal,4.999864,4.625748239988118,4.516032010034595,1.0014997074867589,0.02005025125628141,0.03484924623115578,-2.6362767742643114,6.53001925895936,52.368421052631575,835845.157609872,118.29699765203327,232.54456698277866,0.24682077075833733,4279.509355950634,0.005,1.08087680967541,4.99976517108617
5,RC,normal,4.999087,4.54014577484669,4.411415624110514,1.0734690718469244,0.02434673366834171,0.04296482412060302,-2.3037120085549465,4.690439986247966,52.368421052631575,801473.5124231008,118.18924837881521,232.1068972938116,0.2817831790427843,4122.5847313716495,0.005,1.101085129842292,4.99858059625644
6,RC,normal,4.996583,4.45319478287506,4.3070544385924565,1.131470652393009,0.02864321608040201,0.050125628140703524,-2.047205206785086,3.443290250190562,52.368421052631575,767636.4895896245,118.45225723543355,232.0494224416604,0.3139647885891901,3966.1887548451296,0.005,1.1220221085353288,4.995052970155069
7,RC,normal,4.990993,4.365179487203524,4.203270987940065,1.1778391050749544,0.03246231155778895,0.05728643216080402,-1.8418104298730393,2.5524821963847026,52.368421052631575,734448.8094070056,118.94979255296717,232.228342443351,0.3437335538293986,3810.958391100484,0.005,1.1433648981974374,4.987617852398302
8,RC,normal,4.98109,4.276511850633683,4.1004772153617095,1.2143476499379458,0.03675879396984925,0.06349246231155779,-1.673001285146674,1.892076913935691,52.368421052631575,702052.5442481682,119.59194899477266,232.55346373803968,0.37134377947813085,3657.7107217220655,0.005,1.1647553365862682,4.974999930202868
9,RC,normal,4.966026,4.187668711950721,3.99911202487459,1.2424460767190104,0.040577889447236185,0.06874371859296483,-1.5315758687679415,1.3885336805452964,52.368421052631575,670592.4991384655,120.31697117977866,232.9652254852455,0.39698589310816385,3507.3138482102017,0.005,1.1858688787458311,4.9564369980790675
10,RC,normal,4.945398,4.099133293704008,3.899588712765984,1.2633691585679938,0.044396984924623115,0.07304020100502513,-1.411322072006609,0.9959611861774755,52.368421052631575,640196.8579457272,121.08246501223299,233.42391324409132,0.4208164043778198,3360.5787519105334,0.005,1.2064496676884837,4.931682169644626
11,RC,normal,4.919183,4.011353849149765,3.8022624257684097,1.2781862730753943,0.04773869346733669,0.0763819095477387,-1.3078397964200332,0.6842617384060126,52.368421052631575,610966.2857170443,121.85962478786277,233.90302423926533,0.44297356298203516,3218.1919406177276,0.005,1.2263149013998493,4.9008975135913815
12,RC,normal,4.887645,3.9247209085118575,3.7074161353562003,1.2878275540656192,0.050603015075376886,0.0792462311557789,-1.2178958968160358,0.43292196984700393,52.368421052631575,582970.4279483261,122.62943134540205,234.3852416458447,0.4635848739372898,3080.686841942028,0.005,1.2453484244955537,4.864521276847265
13,RC,normal,4.851231,3.8395582727226962,3.6152592530405085,1.2931002524701156,0.05298994974874373,0.08115577889447237,-1.1390467895173897,0.22752983634189672,52.368421052631575,556249.1500879896,123.37973040507148,234.85954452603485,0.4827699351755125,2948.441545926659,0.005,1.2634867491045811,4.82315136944198
14,RC,normal,4.810486,3.7561231426197947,3.525933606220591,1.294701999321951,0.055376884422110556,0.08306532663316583,-1.0694044836484486,0.05770685146791932,52.368421052631575,530816.3295796427,124.10306423576505,235.31908876154765,0.5006412497306333,2821.6922125048004,0.005,1.2807050826999287,4.777456631688616
15,RC,normal,4.765997,3.6746110403804426,3.439522500370781,1.2932328744386954,0.05728643216080402,0.08402010050251257,-1.00748397940259,-0.08417725999032166,52.368421052631575,506664.52175866824,124.79529256102994,235.75995511141798,0.5173043111555254,2700.5532596171674,0.005,1.297007206375389,4.728116980474435
16,RC,normal,4.718347,3.5951631357412057,3.3560607995427483,1.2892066872169996,0.059195979899497486,0.08545226130653266,-0.9521000884292024,-0.20383194126295434,52.368421052631575,483769.6764586107,125.45444094949177,236.1800880249927,0.5328573650425256,2585.039594518508,0.005,1.3124152706987606,4.675784225824922
17,RC,normal,4.66809,3.517874616547633,3.2755448255627324,1.283061928933816,0.060628140703517595,0.08592964824120604,-0.9022952360012382,-0.30559544217080425,52.368421052631575,462095.4875506618,126.07997191976952,236.5786769258684,0.5473913768589628,2475.088363550031,0.005,1.326963154980539,4.621061022581648
18,RC,normal,4.615741,3.442802510795163,3.197940960798023,1.2751716510288702,0.062060301507537684,0.08688442211055276,-0.8572871208269124,-0.3928096075094012,52.368421052631575,441597.0199054516,126.67238378575091,236.95580534291827,0.5609901477980923,2370.5778256674957,0.005,1.3406929341799307,4.564490171104411
19,RC,normal,4.56176,3.3699726846633733,3.1231928307021333,1.2658524549204226,0.06349246231155779,0.08736180904522614,-0.8164307447092429,-0.4680801919957527,52.368421052631575,422223.6321858622,127.2326542184565,237.31194394948528,0.5737304949408722,2271.3431790754526,0.005,1.3536489541177614,4.506551813370888
20,RC,normal,4.506559,3.2993863241711074,3.0512276084505707,1.255372533376583,0.06444723618090452,0.0878391959798995,-0.7791900923532882,-0.5334610816261014,52.368421052631575,403921.38094151247,127.76220974694841,237.6479774455685,0.5856825660393984,2177.1900232254666,0.005,1.3658779412963005,4.447663435844305
21,RC,normal,4.450498,3.231025216776217,2.9819608064061525,1.243958882158639,0.06540201005025126,0.08831658291457287,-0.7451157561486408,-0.5905887872014834,52.368421052631575,386634.7994513076,128.2626467809073,237.96494563124259,0.5969103786228508,2087.90479028876,0.005,1.3774259565948304,4.388185239798973
22,RC,normal,4.393886,3.1648561549124175,2.9153002354598043,1.2318031573327861,0.06635678391959798,0.08879396984924623,-0.7138285828226384,-0.6407780878887634,52.368421052631575,370308.24980203435,128.73554199755606,238.2638126591261,0.6074720696526631,2003.2628962574022,0.005,1.388336715771398,4.32842398321571
